ticker	rank	held	gics_sector	gics_sector_name	sector_trend_state	ma_20	ma_50	ma_100	ma_200	sma_distance_pct	rs_leadership	rs_spy_20d	structure	structure_shift	day_vol	flow	energy	entry	bracket.stop	bracket.stop_type	bracket.valid	bracket.risk_pct	squeeze_breakout_state	was_squeezed	squeeze_breakout_volume_confirmed	elder_context.vcp.base_range_pct	elder_context.vcp.vcp_tightness_pct	elder_pattern	mp_accel_state	rs_down_day_20d	div_state	div_bear_count	bracket.atr_fallback_stop	bracket.invalid_reason
OXY	63	True	XLE	Energy	Momentum Fading — Hold, Don't Add	57.41	54.79	56.46	51.48	11.89	LEADER	3.36	71.6	ABOVE_STRUCTURE	0.76	78.9	70.6	61.3	57.93	fib_618	True	5.5	NONE	False	False	14.7	46.4	SUSTAINED	DECELERATING	2.41	BULLISH	0	59.77	null
VSXY	194	False	XLY	Consumer Discretionary	Momentum Fading — Hold, Don't Add	89.85	84.67	69.39	60.43	0.85	LAGGARD	-1.42	38.9	RANGE	0.67	27.6	50.0	85.39	80.56	fib_786	True	5.66	NONE	False	False	null	null	null	FLAT	-0.59	BEARISH	2	81.17	null
UBER	151	False	XLK	Technology	Momentum Fading — Hold, Don't Add	73.85	72.92	73.26	77.1	8.07	LEADER	15.88	87.4	RANGE	0.61	35.5	58.8	78.8	null	null	False	null	NONE	False	False	20.3	39.9	ACCELERATION	ACCELERATING	0.76	NONE	0	76.06	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
ABNB	45	False	XLY	Consumer Discretionary	Momentum Fading — Hold, Don't Add	168.98	153.6	144.37	136.17	21.94	LEADER	29.12	73.7	BULLISH_BOS	0.8	57.9	70.6	187.3	null	null	False	null	NONE	False	False	27.8	20.2	null	ACCELERATING	0.85	NONE	0	181.55	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
PK	146	False	XLRE	Real Estate	Momentum Building — Add	15.07	14.72	13.16	12.02	7.17	IN-LINE	3.43	71.6	BULLISH_BOS	0.81	57.9	76.5	15.78	null	null	False	null	NONE	False	False	11.2	66.9	null	ACCELERATING	0.03	NONE	0	15.36	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
PAYX	58	False	XLI	Industrials	Declining — Avoid	120.15	110.99	102.27	103.39	12.16	LEADER	6.0	76.8	RANGE	0.72	57.9	84.0	124.48	null	null	False	null	NONE	True	False	10.2	50.8	ACCUMULATION_BASE	ACCELERATING	0.6	BEARISH	3	121.01	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
JNJ	141	False	XLV	Healthcare	Momentum Fading — Hold, Don't Add	262.15	254.83	243.0	231.81	6.05	LEADER	-1.03	71.6	RANGE	0.88	67.1	74.8	270.24	null	null	False	null	NONE	False	False	9.9	69.9	CORRECTION_REENTRY	FLAT	0.69	NONE	0	264.38	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
EFX	89	False	XLI	Industrials	Declining — Avoid	181.64	172.0	172.92	188.73	11.99	IN-LINE	8.01	74.7	BULLISH_BOS	0.9	67.1	74.8	192.62	null	null	False	null	NONE	False	False	13.5	80.0	ACCELERATION	ACCELERATING	0.18	NONE	0	185.49	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
KGC	3	False	XLB	Materials	Momentum Fading — Hold, Don't Add	26.43	25.23	27.84	29.12	29.85	LEADER	33.73	100.0	ABOVE_STRUCTURE	1.57	84.2	61.3	32.76	null	null	False	null	NONE	False	False	38.2	51.8	null	ACCELERATING	1.83	NONE	0	31.54	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
PLD	193	False	XLRE	Real Estate	Momentum Building — Add	141.98	142.85	142.09	136.52	-0.73	IN-LINE	-7.57	27.4	RANGE	0.65	52.6	53.0	141.8	null	null	False	null	NONE	False	False	8.3	22.9	INTERRUPTED	ACCELERATING	0.18	NONE	0	139.27	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
