ticker	rank	held	structure	structure_shift	sma_distance_pct	atr_14d	atr_caution	day_vol	mp_state	mp_accel_state	lens	entry	bracket.stop	bracket.stop_type	bracket.valid	bracket.risk_pct	squeeze_breakout_state	was_squeezed	squeeze_breakout_volume_confirmed	elder_pattern	div_state	div_bear_count	bracket.atr_fallback_stop	bracket.invalid_reason
GTLB	103	False	64.2	RANGE	23.8	2.02	False	0.73	STRONG	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""warn"", ""insti_money"": ""warn"", ""structure"": ""ok"", ""resistance"": ""warn"", ""extension"": null, ""sector"": ""strong""}"	41.67	null	null	False	null	NONE	False	False	null	NONE	0	39.65	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
ARE	164	False	51.6	RANGE	5.7	2.08	False	1.43	BUILDING	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""warn"", ""insti_money"": ""strong"", ""structure"": ""ok"", ""resistance"": ""ok"", ""extension"": null, ""sector"": ""ok""}"	53.49	null	null	False	null	NONE	False	False	ACCELERATION	NONE	0	51.41	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
ADBE	32	False	96.8	ABOVE_STRUCTURE	18.28	11.06	False	0.86	STRONG	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""ok"", ""insti_money"": ""ok"", ""structure"": ""ok"", ""resistance"": ""ok"", ""extension"": null, ""sector"": ""strong""}"	275.3	null	null	False	null	NONE	False	False	ACCELERATION	NONE	0	264.24	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
ARM	199	False	26.3	BEARISH_CHOCH	-19.53	20.9	False	0.69	FADING	DECELERATING	"{""leadership"": ""warn"", ""coil"": ""strong"", ""insti_money"": ""warn"", ""structure"": ""warn"", ""resistance"": ""warn"", ""extension"": null, ""sector"": ""strong""}"	243.32	219.39	swing_low_1	True	9.83	NONE	False	False	null	BULLISH	0	222.42	null
EOG	143	False	73.7	ABOVE_STRUCTURE	10.11	3.69	False	1.11	FADING	ACCELERATING	"{""leadership"": ""strong"", ""coil"": ""warn"", ""insti_money"": ""strong"", ""structure"": ""ok"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""strong""}"	153.05	null	null	False	null	NONE	False	False	SUSTAINED	MIXED	1	149.36	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
ADSK	128	False	88.4	RANGE	15.5	9.57	False	0.9	STRONG	FLAT	"{""leadership"": ""warn"", ""coil"": ""strong"", ""insti_money"": ""warn"", ""structure"": ""ok"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""strong""}"	253.83	null	null	False	null	NONE	False	False	INTERRUPTED	BEARISH	2	244.26	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
RVMD	118	False	66.3	ABOVE_STRUCTURE	12.01	7.34	False	1.28	FADING	ACCELERATING	"{""leadership"": ""strong"", ""coil"": ""ok"", ""insti_money"": ""ok"", ""structure"": ""ok"", ""resistance"": ""warn"", ""extension"": null, ""sector"": ""strong""}"	209.46	199.8	ma20	True	4.61	NONE	False	False	null	NONE	0	202.12	null
UPST	187	False	33.5	RANGE	-1.67	1.84	False	0.94	BUILDING	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""strong"", ""insti_money"": ""warn"", ""structure"": ""ok"", ""resistance"": ""warn"", ""extension"": null, ""sector"": ""warn""}"	30.3	null	null	False	null	NONE	True	False	INTERRUPTED	NONE	0	28.46	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
JPM	190	False	60.0	RANGE	2.22	6.23	False	1.31	FADING	DECELERATING	"{""leadership"": ""ok"", ""coil"": ""strong"", ""insti_money"": ""warn"", ""structure"": ""ok"", ""resistance"": ""ok"", ""extension"": null, ""sector"": ""warn""}"	351.58	343.94	ma50	True	2.17	NONE	False	False	null	BEARISH	1	345.35	null
ELF	135	False	84.2	ABOVE_STRUCTURE	28.92	4.54	False	0.56	STRONG	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""ok"", ""insti_money"": ""ok"", ""structure"": ""ok"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""strong""}"	101.94	null	null	False	null	NONE	False	False	ACCELERATION	BEARISH	2	97.4	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
