ticker	sc_momentum	atr_14d	day_vol	bracket.price	bracket.stop	bracket.atr_fallback_stop	bracket.valid	bracket.risk_pct	bracket.stop_atr_dist	bracket.rr	bracket.rr_tp1	bracket.rr_tp2	knn_prob	knn_threshold_clear	sc_m_gate_detail	sc_p_gate_detail	beta_30d	atr_caution	bracket.invalid_reason
SNY	66.2	0.83	0.58	45.85	44.37	45.02	True	3.23	1.77	2.32	1.69	2.32	0.4	True	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""elder"": true}"	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""bq"": false, ""k39"": false}"	-0.32	False	null
CNH	65.1	0.49	1.44	11.87	null	11.38	False	null	null	null	null	null	0.2	True	"{""flow"": true, ""energy"": false, ""structure"": true, ""mp"": true, ""elder"": true}"	"{""flow"": true, ""energy"": false, ""structure"": false, ""mp"": true, ""bq"": false, ""k39"": false}"	1.0	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
BSY	75.6	1.53	0.58	37.08	null	35.55	False	null	null	null	null	null	0.2	True	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""elder"": true}"	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""bq"": false, ""k39"": false}"	-0.53	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
VZ	65.2	1.04	0.66	49.45	null	48.41	False	null	null	null	null	null	0.8	True	"{""flow"": false, ""energy"": true, ""structure"": true, ""mp"": false, ""elder"": true}"	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""bq"": true, ""k39"": true}"	0.15	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
DXCM	68.7	2.81	0.61	92.34	null	89.53	False	null	null	null	null	null	0.6	True	"{""flow"": false, ""energy"": false, ""structure"": true, ""mp"": true, ""elder"": true}"	"{""flow"": true, ""energy"": false, ""structure"": true, ""mp"": true, ""bq"": false, ""k39"": true}"	0.62	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
SJM	65.8	3.17	1.22	124.32	120.48	121.15	True	3.09	1.21	2.3	0.87	2.3	0.6	True	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": false, ""elder"": true}"	"{""flow"": true, ""energy"": true, ""structure"": false, ""mp"": false, ""bq"": false, ""k39"": true}"	-0.13	False	null
RIVN	51.6	0.83	1.54	16.97	null	16.14	False	null	null	null	null	null	0.6	True	"{""flow"": true, ""energy"": false, ""structure"": false, ""mp"": false, ""elder"": true}"	"{""flow"": true, ""energy"": false, ""structure"": false, ""mp"": false, ""bq"": false, ""k39"": false}"	1.35	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
UPST	41.1	1.84	0.94	30.3	null	28.46	False	null	null	null	null	null	0.6	True	"{""flow"": false, ""energy"": false, ""structure"": false, ""mp"": false, ""elder"": true}"	"{""flow"": false, ""energy"": false, ""structure"": false, ""mp"": true, ""bq"": false, ""k39"": false}"	3.32	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
AMCR	64.9	1.25	0.75	48.59	null	47.34	False	null	null	null	null	null	0.6	True	"{""flow"": false, ""energy"": true, ""structure"": true, ""mp"": true, ""elder"": true}"	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""bq"": false, ""k39"": true}"	0.79	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
SHEL	58.5	1.51	0.55	93.33	null	91.81	False	null	null	null	null	null	0.2	True	"{""flow"": false, ""energy"": true, ""structure"": true, ""mp"": true, ""elder"": true}"	"{""flow"": false, ""energy"": true, ""structure"": true, ""mp"": true, ""bq"": false, ""k39"": true}"	-0.52	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
GFI	79.6	1.85	1.33	47.81	null	45.96	False	null	null	null	null	null	0.6	True	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""elder"": true}"	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""bq"": false, ""k39"": false}"	1.35	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
ARM	23.6	20.9	0.69	243.32	219.39	222.42	True	9.83	1.15	7.72	2.34	7.72	0.8	True	"{""flow"": false, ""energy"": false, ""structure"": false, ""mp"": false, ""elder"": false}"	"{""flow"": false, ""energy"": false, ""structure"": false, ""mp"": false, ""bq"": false, ""k39"": true}"	3.81	False	null
UAL	28.3	4.17	1.04	113.17	107.51	109.0	True	5.0	1.36	2.05	0.85	2.05	1.0	True	"{""flow"": false, ""energy"": false, ""structure"": false, ""mp"": false, ""elder"": false}"	"{""flow"": false, ""energy"": false, ""structure"": false, ""mp"": false, ""bq"": false, ""k39"": true}"	2.26	False	null
EOG	63.1	3.69	1.11	153.05	null	149.36	False	null	null	null	null	null	0.2	True	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": false, ""elder"": true}"	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": false, ""bq"": false, ""k39"": true}"	-1.22	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
WBD	74.9	0.49	0.67	28.55	null	28.06	False	null	null	null	null	null	null	null	null	null	-0.06	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
SSRM	73.0	1.65	1.3	37.77	null	36.12	False	null	null	null	null	null	0.6	True	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""elder"": true}"	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""bq"": false, ""k39"": true}"	1.84	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
CHYM	72.3	1.54	0.61	32.78	null	31.24	False	null	null	null	null	null	0.5	False	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""elder"": true}"	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""bq"": false, ""k39"": true}"	1.02	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
BHP	66.9	2.57	1.43	97.03	null	94.46	False	null	null	null	null	null	0.6	True	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""elder"": true}"	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""bq"": false, ""k39"": true}"	1.13	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
BFLY	65.8	0.65	0.87	9.55	null	8.9	False	null	null	null	null	null	0.6	True	"{""flow"": false, ""energy"": true, ""structure"": true, ""mp"": true, ""elder"": true}"	"{""flow"": true, ""energy"": true, ""structure"": false, ""mp"": true, ""bq"": false, ""k39"": true}"	3.27	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
WRBY	47.1	1.69	0.61	27.44	null	25.75	False	null	null	null	null	null	0.4	True	"{""flow"": false, ""energy"": false, ""structure"": false, ""mp"": false, ""elder"": true}"	"{""flow"": false, ""energy"": false, ""structure"": false, ""mp"": true, ""bq"": false, ""k39"": false}"	2.44	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
ASAN	66.9	0.57	0.69	9.58	8.97	9.01	True	6.37	1.07	2.02	0.49	2.02	0.6	True	"{""flow"": false, ""energy"": true, ""structure"": true, ""mp"": true, ""elder"": true}"	"{""flow"": true, ""energy"": true, ""structure"": false, ""mp"": true, ""bq"": false, ""k39"": false}"	0.36	False	null
PLTR	65.5	7.7	0.88	179.94	null	172.24	False	null	null	null	null	null	null	null	null	null	3.7	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
SU	68.3	1.68	0.46	68.42	null	66.75	False	null	null	null	null	null	0.4	True	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": false, ""elder"": true}"	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""bq"": false, ""k39"": true}"	-0.98	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
NCNO	70.7	0.82	1.02	20.62	null	19.8	False	null	null	null	null	null	0.6	True	"{""flow"": false, ""energy"": true, ""structure"": true, ""mp"": true, ""elder"": true}"	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""bq"": false, ""k39"": true}"	0.7	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
VLO	69.4	10.81	0.74	348.86	null	338.05	False	null	null	null	null	null	0.5	False	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""elder"": true}"	"{""flow"": true, ""energy"": true, ""structure"": true, ""mp"": true, ""bq"": false, ""k39"": true}"	-0.17	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
FCX	78.5	3.0	2.25	76.66	null	73.66	False	null	null	null	null	null	null	null	null	null	2.09	False	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
