# DICT bracket.targets fields (in order): type,price,date,atr_dist,vol_ratio,vol_validated,tp,r; type codes: {'resistance': 'R', 'support': 'S', 'prior_high': 'P', 'fib_1272': 'A', 'fib_1618': 'B', 'fib_2618': 'C', 'fib_2000': 'D'}
# DICT bracket.invalid_reason: 1=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT bracket.stop_type: 1=fib_618; 2=fib_786; 3=ma100; 4=ma20; 5=ma200; 6=ma50; 7=ma_cluster; 8=swing_low; 9=swing_low_1; 10=swing_low_2; 11=swing_low_3
# DICT choch_state: 1=BEARISH; 2=BULLISH
# DICT elder_pattern: 1=ACCELERATION; 2=ACCUMULATION_BASE; 3=CORRECTION_REENTRY; 4=INTERRUPTED; 5=SUSTAINED
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT source: 1=elder_list; 2=longlist; 3=qs; 4=radar-premove
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	bracket.invalid_reason	bracket.risk_pct	bracket.rr	bracket.rr_tp1	bracket.stop	bracket.stop_type	bracket.targets	bracket.valid	choch_state	elder_5d	elder_pattern	ma_20	ma_50	malformed_bracket	mp_state	pin_bar_level	pin_bar_state	structure_shift
ZS	210.18	2	False	9.88	44	1	null	null	null	null	null	P@210.71@n@0.05@n@n@n@n|A@224.72@n@1.47@n@n@n@n|B@242.54@n@3.28@n@n@n@n|D@262.22@n@5.27@n@n@n@n|C@294.05@n@8.49@n@n@n@n	False	2	[10, 10, 10, 10, 10]	5	182.13	170.34	null	1	null	NONE	1
RKLB	71.98	1	False	3.91	33	null	9.66	3.04	2.14	65.03	4	R@86.83@260810@3.8@1.73@T@TP1@2.14|R@93.1@260422@5.4@0.85@F@TP2@3.04|R@107.6@260701@9.11@0.72@F@TP3@5.13|R@151.0@260527@20.2@1.0@F@n@11.37|A@171.95@n@25.55@n@n@n@14.38|B@198.59@n@32.36@n@n@n@18.22|D@228.01@n@39.88@n@n@n@22.45|C@275.6@n@52.05@n@n@n@29.3	True	2	[5, 8, 7, 10, 10]	1	65.03	69.58	null	1	null	NONE	1
NTRA	390.9	2	True	12.87	31	1	null	null	null	null	null	P@391.81@n@0.07@n@n@n@n|A@412.43@n@1.67@n@n@n@n|B@438.66@n@3.71@n@n@n@n|D@467.62@n@5.96@n@n@n@n|C@514.47@n@9.6@n@n@n@n	False	2	[8, 10, 10, 10, 10]	5	340.43	308.66	null	3	null	NONE	1
SSRM	38.3	2	False	1.53	29	1	null	null	null	null	null	R@39.42@260825@0.73@0.86@F@n@n|A@40.46@n@1.41@n@n@n@n|B@41.76@n@2.26@n@n@n@n|D@43.19@n@3.19@n@n@n@n|C@45.51@n@4.71@n@n@n@n	False	1	[0, 5, 5, 6, 8]	2	37.02	32.53	null	2	null	NONE	4
UCTT	76.55	1	False	4.91	24	1	null	null	null	null	null	R@84.43@260424@1.61@1.47@T@n@n|R@88.5@260518@2.43@1.17@F@n@n|R@94.92@260813@3.74@0.74@F@n@n|R@98.68@260804@4.51@2.11@T@n@n|P@144.22@n@13.79@n@n@n@n|A@154.61@n@15.9@n@n@n@n|B@167.83@n@18.6@n@n@n@n|D@182.42@n@21.57@n@n@n@n|C@206.03@n@26.38@n@n@n@n	False	2	[2, 5, 7, 8, 10]	4	70.54	80.44	null	1	null	NONE	3
HOOD	124.25	2	False	6.66	30	1	null	null	null	null	null	R@125.25@260908@0.15@1.21@T@n@n|A@133.41@n@1.38@n@n@n@n|B@142.31@n@2.71@n@n@n@n|D@152.14@n@4.19@n@n@n@n|C@168.04@n@6.58@n@n@n@n	False	2	[0, 0, 6, 10, 10]	1	113.08	103.69	null	1	null	NONE	4
HCA	438.12	1	False	12.91	null	null	4.02	5.02	4.2	420.5	4	R@512.14@260409@5.73@0.63@F@TP1@4.2|A@526.53@n@6.85@n@n@TP2@5.02|B@544.84@n@8.27@n@n@TP3@6.06|D@565.06@n@9.83@n@n@n@7.2|C@597.76@n@12.36@n@n@n@9.06	True	2	[9, 9, 6, 6, 9]	3	420.5	407.64	null	2	null	NONE	3
ADI	390.37	2	False	11.46	44	1	null	null	null	null	null	R@396.95@260817@0.57@0.83@F@n@n|R@408.37@260423@1.57@1.38@T@n@n|R@435.72@260513@3.96@0.99@F@n@n|R@445.91@260622@4.85@0.83@F@n@n|A@462.93@n@6.33@n@n@n@n|B@484.59@n@8.22@n@n@n@n|D@508.5@n@10.31@n@n@n@n|C@547.18@n@13.69@n@n@n@n	False	2	[2, 5, 8, 10, 10]	1	366.87	373.24	null	1	null	NONE	1
ACA	146.6	2	False	0.46	26	null	0.78	6.43	0.28	145.46	4	R@146.92@260622@0.7@8.79@T@TP1@0.28|A@153.93@n@16.07@n@n@TP2@6.43|B@162.84@n@35.61@n@n@TP3@14.25|D@172.68@n@57.19@n@n@n@22.88|C@188.6@n@92.11@n@n@n@36.84	True	2	[3, 5, 6, 8, 8]	2	145.46	145.23	null	1	null	NONE	3
P	110.87	1	False	6.0	49	1	null	null	null	null	null	R@119.1@260818@1.37@1.04@F@n@n|A@132.94@n@3.68@n@n@n@n|B@150.54@n@6.61@n@n@n@n|D@169.97@n@9.84@n@n@n@n|C@201.41@n@15.08@n@n@n@n	False	2	[5, 7, 8, 10, 10]	1	99.63	93.2	null	1	null	NONE	1
