# DICT bracket.targets fields (in order): type,price,tp,r,atr_dist,date,vol_ratio,vol_validated; type codes: {'resistance': 'R', 'support': 'S', 'prior_high': 'P', 'fib_1272': 'A', 'fib_1618': 'B', 'fib_2618': 'C', 'fib_2000': 'D'}
# DICT bracket.invalid_reason: 1=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT bracket.stop_type: 1=fib_618; 2=fib_786; 3=ma100; 4=ma20; 5=ma50; 6=ma_cluster; 7=swing_low_1; 8=swing_low_2
# DICT gics_sector_name: 1=Communication Services; 2=Consumer Discretionary; 3=Consumer Staples; 4=Financials; 5=Healthcare; 6=Industrials; 7=Materials; 8=Real Estate; 9=Technology; 10=Utilities
# DICT mp_accel_state: 1=ACCELERATING; 2=DECELERATING; 3=FLAT
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT sector_trend_state: 1=Momentum Building — Add; 2=Momentum Fading — Hold, Don't Add; 3=Recovering From Weakness — Watch for Entry
# DICT source: 1=elder_list; 2=longlist; 3=qs; 4=radar-premove
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	bracket.invalid_reason	bracket.risk_pct	bracket.rr	bracket.rr_tp1	bracket.stop	bracket.stop_type	bracket.targets	bracket.valid	day_vol	gics_sector	gics_sector_name	mp_accel_state	mp_state	rank	sector_trend_state	sma_distance_pct	structure	structure_shift
VRT	245.3	4	False	12.95	null	null	7.48	2.73	1.6	226.94	7	R@274.76@TP1@1.6@2.27@260827@0.94@F|R@295.34@TP2@2.73@3.86@260908@1.16@F|R@313.61@TP3@3.72@5.27@260723@0.54@F|R@338.88@n@5.1@7.23@260709@0.56@F|P@379.94@n@7.33@10.4@n@n@n|A@403.35@n@8.61@12.2@n@n@n|B@433.13@n@10.23@14.5@n@n@n|D@466.0@n@12.02@17.04@n@n@n|C@519.19@n@14.92@21.15@n@n@n	True	0.76	XLI	6	1	2	114	3	-8.05	26.3	2
IRDM	48.89	1	False	1.1	null	null	2.43	4.15	1.75	47.7	5	R@50.97@TP1@1.75@1.9@260817@0.99@F|R@53.83@TP2@4.15@4.5@260603@1.15@F|R@57.18@TP3@6.97@7.56@260702@0.9@F|A@61.69@n@10.76@11.67@n@n@n|B@67.43@n@15.58@16.9@n@n@n|D@73.76@n@20.9@22.67@n@n@n|C@84.01@n@29.51@32.01@n@n@n	True	0.56	XLC	1	1	1	84	1	2.51	49.5	3
ETN	440.0	2	False	14.45	27	null	4.95	3.24	1.75	418.23	5	R@478.0@TP1@1.75@2.63@260812@0.67@F|A@510.6@TP2@3.24@4.89@n@n@n|B@552.08@TP3@5.15@7.76@n@n@n|D@597.87@n@7.25@10.93@n@n@n|C@671.95@n@10.65@16.05@n@n@n	True	0.63	XLI	6	1	2	43	3	5.21	71.6	1
DAL	82.76	1	False	2.35	null	1	null	null	null	null	null	R@83.83@n@n@0.46@260529@1.06@F|R@87.39@n@n@1.97@260615@1.32@T|R@95.01@n@n@5.21@260805@0.77@F|A@100.92@n@n@7.72@n@n@n|B@107.6@n@n@10.57@n@n@n|D@114.96@n@n@13.7@n@n@n|C@126.88@n@n@18.77@n@n@n	False	0.89	XLI	6	1	2	95	3	-1.58	36.8	4
TWLO	299.66	2	False	12.85	24	1	null	null	null	null	null	P@304.75@n@n@0.4@n@n@n|A@327.3@n@n@2.15@n@n@n|B@355.98@n@n@4.38@n@n@n|D@387.64@n@n@6.85@n@n@n|C@438.87@n@n@10.83@n@n@n	False	1.76	XLK	9	1	3	4	2	32.58	81.1	1
ELF	100.57	1	False	4.35	28	null	6.6	2.27	1.43	93.93	5	R@110.04@TP1@1.43@2.18@260908@0.86@F|A@115.66@TP2@2.27@3.47@n@n@n|B@122.81@TP3@3.35@5.11@n@n@n|D@130.7@n@4.54@6.92@n@n@n|C@143.47@n@6.46@9.86@n@n@n	True	0.76	XLP	3	1	1	73	3	7.07	55.2	4
CLS	373.56	2	False	19.48	null	1	null	null	null	null	null	R@378.0@n@n@0.23@260709@0.88@F|R@414.13@n@n@2.08@260615@0.68@F|R@435.0@n@n@3.15@260505@0.71@F|R@474.03@n@n@5.16@260602@1.79@T|A@510.49@n@n@7.03@n@n@n|B@556.86@n@n@9.41@n@n@n|D@608.06@n@n@12.04@n@n@n|C@690.89@n@n@16.29@n@n@n	False	1.34	XLK	9	1	3	18	2	15.14	66.7	1
SRAD	13.09	1	False	0.61	28	1	null	null	null	null	null	R@13.46@n@n@0.6@260910@2.11@T|R@14.06@n@n@1.58@260817@0.87@F|R@14.44@n@n@2.2@260507@0.48@F|R@15.14@n@n@3.34@260728@0.59@F|P@18.62@n@n@9.01@n@n@n|A@19.69@n@n@10.75@n@n@n|B@21.04@n@n@12.95@n@n@n|D@22.54@n@n@15.39@n@n@n|C@24.96@n@n@19.33@n@n@n	False	1.01	XLK	9	1	1	87	2	-1.84	38.9	2
BETA	23.15	1	False	1.65	null	null	7.26	2.54	0.04	21.47	5	R@23.21@TP1@0.04@0.04@260908@1.32@T|R@27.42@TP2@2.54@2.58@260819@0.86@F|A@29.26@TP3@3.64@3.7@n@n@n|B@31.6@n@5.03@5.12@n@n@n|D@34.19@n@6.57@6.68@n@n@n|C@38.37@n@9.06@9.21@n@n@n	True	0.59	XLI	6	1	1	100	3	7.81	38.9	4
MU	1080.53	2	False	48.93	null	1	null	null	null	null	null	R@1089.29@n@n@0.18@260603@0.73@F|R@1255.0@n@n@3.57@260625@1.47@T|A@1326.78@n@n@5.03@n@n@n|B@1418.09@n@n@6.9@n@n@n|D@1518.9@n@n@8.96@n@n@n|C@1681.99@n@n@12.29@n@n@n	False	0.86	XLK	9	1	1	35	2	15.31	68.8	1
