# DICT bracket.targets fields (in order): type,price,atr_dist,tp,r,date,vol_ratio,vol_validated; type codes: {'resistance': 'R', 'support': 'S', 'prior_high': 'P', 'fib_1272': 'A', 'fib_1618': 'B', 'fib_2618': 'C', 'fib_2000': 'D'}
# DICT bracket.invalid_reason: 1=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT bracket.stop_type: 1=fib_618; 2=fib_786; 3=ma100; 4=ma20; 5=ma200; 6=ma50; 7=ma_cluster; 8=swing_low; 9=swing_low_1; 10=swing_low_2; 11=swing_low_3
# DICT gics_sector_name: 1=Communication Services; 2=Consumer Discretionary; 3=Consumer Staples; 4=Financials; 5=Healthcare; 6=Industrials; 7=Materials; 8=Real Estate; 9=Technology; 10=Utilities
# DICT rs_leadership: 1=IN-LINE; 2=LAGGARD; 3=LEADER
# DICT sector_trend_state: 1=Momentum Building — Add; 2=Momentum Fading — Hold, Don't Add; 3=Recovering From Weakness — Watch for Entry
# DICT source: 1=elder_list; 2=longlist; 3=radar-premove; 4=radar-runner
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	bracket.invalid_reason	bracket.risk_pct	bracket.rr	bracket.rr_tp1	bracket.stop	bracket.stop_type	bracket.targets	bracket.valid	day_vol	energy	flow	gics_sector	gics_sector_name	ma_100	ma_20	ma_200	ma_50	rank	rs_leadership	rs_spy_20d	sector_trend_state	sma_distance_pct	structure	structure_shift
ACMR	77.3	1	False	5.08	27	null	6.8	2.9	0.27	72.04	4	R@78.71@0.28@TP1@0.27@260908@1.12@F|R@92.55@3.0@TP2@2.9@260807@1.38@T|R@127.19@9.82@TP3@9.48@260630@1.07@F|A@141.61@12.66@n@12.23@n@n@n|B@159.94@16.27@n@15.71@n@n@n|D@180.19@20.26@n@19.56@n@n@n|C@212.94@26.71@n@25.79@n@n@n	True	0.55	45.7	68.4	XLK	9	82.09	72.04	66.0	77.35	109	2	-4.0	2	-0.06	26.3	4
CRDO	210.97	1	False	13.58	47	null	11.9	2.77	1.2	185.87	11	R@241.14@2.22@TP1@1.2@260723@0.54@F|R@280.5@5.12@TP2@2.77@260706@0.67@F|R@308.67@7.19@TP3@3.89@260622@0.95@F|A@338.23@9.37@n@5.07@n@n@n|B@375.83@12.14@n@6.57@n@n@n|D@417.34@15.2@n@8.22@n@n@n|C@484.5@20.14@n@10.9@n@n@n	True	1.23	47.9	78.9	XLK	9	219.36	180.56	176.17	209.96	96	1	-12.22	2	0.48	30.5	4
KLAC	187.92	1	False	7.89	null	null	5.07	2.82	0.31	178.4	4	R@190.87@0.37@TP1@0.31@260908@1.36@T|R@214.8@3.41@TP2@2.82@260813@0.72@F|R@307.37@15.14@TP3@12.55@260630@0.31@F|A@327.05@17.63@n@14.61@n@n@n|B@352.09@20.8@n@17.24@n@n@n|D@379.74@24.31@n@20.15@n@n@n|C@424.46@29.97@n@24.85@n@n@n	True	0.74	55.0	51.3	XLK	9	202.85	178.4	175.94	188.89	88	1	2.23	2	-0.51	42.1	2
QCOM	201.97	2	False	8.66	27	null	5.42	4.19	2.87	191.02	8	R@233.44@3.63@TP1@2.87@260622@0.82@F|R@247.9@5.3@TP2@4.19@260511@1.78@T|R@259.92@6.69@TP3@5.29@260529@0.99@F|A@278.66@8.86@n@7.0@n@n@n|B@302.5@11.61@n@9.18@n@n@n|D@328.82@14.65@n@11.58@n@n@n|C@371.4@19.57@n@15.47@n@n@n	True	1.23	61.3	55.3	XLK	9	188.83	181.15	169.13	170.24	21	3	22.54	2	18.64	86.3	1
TEVA	39.19	2	False	1.25	26	null	3.19	2.45	1.28	37.94	4	P@40.79@1.28@TP1@1.28@n@n@n|A@42.25@2.44@TP2@2.45@n@n@n|B@44.11@3.93@TP3@3.94@n@n@n|D@46.16@5.56@n@5.58@n@n@n|C@49.48@8.21@n@8.23@n@n@n	True	0.72	71.4	65.8	XLV	5	35.05	37.94	33.44	36.1	33	3	4.14	1	8.56	66.3	1
NVS	145.46	1	False	3.24	null	1	null	null	null	null	null	R@152.54@2.19@n@n@260522@1.04@F|R@154.71@2.86@n@n@260611@1.28@T|R@157.34@3.67@n@n@260811@0.63@F|R@160.34@4.6@n@n@260728@0.94@F|P@164.48@5.88@n@n@n@n@n|A@168.67@7.17@n@n@n@n@n|B@173.99@8.82@n@n@n@n@n|D@179.87@10.63@n@n@n@n@n|C@189.38@13.57@n@n@n@n@n	False	0.45	38.4	51.3	XLV	5	151.18	145.7	150.46	151.5	119	2	-5.97	1	-3.99	31.4	2
CDNS	326.13	1	False	10.83	null	null	4.51	2.0	1.47	311.43	10	R@347.72@1.99@TP1@1.47@260827@1.31@T|R@355.59@2.72@TP2@2.0@260728@2.15@T|R@365.01@3.59@TP3@2.64@260508@0.88@F|R@391.0@5.99@n@4.41@260713@0.59@F|P@416.69@8.36@n@6.16@n@n@n|A@439.85@10.5@n@7.74@n@n@n|B@469.3@13.22@n@9.74@n@n@n|D@501.82@16.22@n@11.95@n@n@n|C@554.43@21.08@n@15.53@n@n@n	True	1.0	54.6	78.9	XLK	9	346.87	299.56	325.53	318.38	71	2	-6.2	2	2.44	36.8	2
WDC	456.81	1	False	27.6	23	1	null	null	null	null	null	R@479.85@0.83@n@n@260827@0.94@F|R@495.49@1.4@n@n@260909@0.64@F|R@525.15@2.48@n@n@260511@1.25@T|R@548.6@3.33@n@n@260817@1.11@F|P@799.87@12.43@n@n@n@n@n|A@886.64@15.57@n@n@n@n@n|B@997.01@19.57@n@n@n@n@n|D@1118.87@23.99@n@n@n@n@n|C@1316.01@31.13@n@n@n@n@n	False	0.89	52.9	61.8	XLK	9	513.89	450.04	393.26	473.94	104	3	-1.16	2	-3.61	26.3	2
P	126.0	1	False	7.01	46	1	null	null	null	null	null	P@131.41@0.77@n@n@n@n@n|A@142.06@2.29@n@n@n@n@n|B@155.6@4.22@n@n@n@n@n|D@170.55@6.35@n@n@n@n@n|C@194.74@9.8@n@n@n@n@n	False	0.85	68.1	36.8	XLI	6	86.44	101.96	77.09	96.03	55	1	26.93	3	31.22	67.4	1
PPG	107.52	1	False	2.48	null	null	3.54	2.29	1.66	103.71	11	R@113.86@2.56@TP1@1.66@260507@1.01@F|R@116.23@3.52@TP2@2.29@260828@0.81@F|R@118.37@4.38@TP3@2.85@260417@2.49@T|R@119.99@5.03@n@3.27@260807@0.66@F|P@125.7@7.34@n@4.77@n@n@n|A@132.69@10.16@n@6.61@n@n@n|B@141.58@13.75@n@8.94@n@n@n|D@151.4@17.71@n@11.52@n@n@n|C@167.28@24.13@n@15.69@n@n@n	True	0.89	30.3	53.9	XLB	7	113.13	107.85	111.89	112.17	121	1	-5.28	3	-4.15	34.7	4
