# DICT rs_leadership: 1=IN-LINE; 2=LAGGARD; 3=LEADER
# DICT sector_trend_state: 1=Momentum Building — Add; 2=Momentum Fading — Hold, Don't Add; 3=Recovering From Weakness — Watch for Entry
# DICT source: 1=elder_list; 2=longlist; 3=radar-premove; 4=radar-runner
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	bracket.price	bracket.risk_pct	bracket.stop	bracket.valid	day_vol	gics_sector	lens.coil	lens.sector	lens.structure	ma_200	ma_50	rank	rs_leadership	rvol_20d	sc_momentum	sector_trend_state	sma_distance_pct	structure	structure_shift
ACMR	77.3	1	False	5.08	27	77.3	6.8	72.04	True	0.55	XLK	ok	strong	ok	66.0	77.35	109	2	0.55	43.7	2	-0.06	26.3	4
WBD	30.86	2	False	0.45	28	30.86	null	null	False	0.55	XLC	--	strong	ok	27.64	27.74	3	1	0.54	77.4	1	11.25	76.8	1
ISRG	405.18	2	False	11.37	null	405.18	null	null	False	1.04	XLV	warn	ok	ok	450.9	373.93	17	3	1.02	69.4	1	8.36	71.6	1
NTAP	201.15	1	False	7.89	46	201.15	5.19	190.71	True	0.53	XLK	ok	strong	strong	136.36	187.47	43	1	0.53	63.7	2	7.3	60.4	3
DJT	9.14	1	False	0.4	29	9.14	null	null	False	0.64	XLC	strong	strong	ok	10.02	9.2	90	2	0.68	48.2	1	-0.63	43.2	4
GTES	26.86	1	False	0.84	24	26.86	null	null	False	0.84	XLI	strong	ok	strong	25.24	26.62	98	1	0.83	46.2	3	0.91	36.8	3
SN	177.74	1	False	6.68	28	177.74	null	null	False	0.57	XLY	ok	ok	strong	133.22	172.2	115	1	0.58	40.0	3	3.22	44.6	3
DT	57.95	2	False	1.81	27	57.95	null	null	False	0.94	XLK	warn	strong	ok	42.24	49.93	9	3	0.96	73.2	2	16.05	74.7	1
IRDM	48.75	1	False	1.08	null	48.75	2.75	47.41	True	1.03	XLC	strong	strong	strong	36.24	47.74	93	3	1.0	47.6	1	2.12	49.5	3
NVS	145.46	1	False	3.24	null	145.46	null	null	False	0.45	XLV	warn	ok	warn	150.46	151.5	119	2	0.45	34.2	1	-3.99	31.4	2
CNK	37.77	2	False	1.16	27	37.77	3.94	36.28	True	0.93	XLY	ok	ok	ok	29.46	35.73	16	1	0.92	69.4	3	5.72	55.8	1
MKSI	260.82	1	False	12.17	27	260.82	null	null	False	0.51	XLK	strong	strong	warn	269.42	282.79	89	2	0.51	48.3	2	-7.77	26.3	2
PENG	56.22	1	False	3.32	null	56.22	9.36	50.96	True	1.14	XLK	ok	strong	ok	38.86	53.42	70	2	1.12	54.6	2	5.24	37.7	1
A	172.79	2	False	4.9	40	172.79	null	null	False	0.99	XLV	warn	ok	ok	132.08	148.75	13	3	1.0	71.2	1	16.16	78.9	1
UAL	113.99	1	False	4.12	null	113.99	3.77	109.69	True	0.9	XLI	strong	ok	ok	109.01	116.33	103	2	0.88	44.6	3	-2.01	44.2	4
ALAB	364.62	4	True	23.1	null	364.62	11.94	321.08	True	0.76	XLK	warn	strong	ok	236.21	305.03	51	1	null	61.4	2	19.54	50.5	1
UMC	24.31	2	False	0.97	null	24.31	6.95	22.62	True	0.49	XLK	warn	strong	ok	15.39	20.53	23	3	0.49	68.1	2	18.4	59.8	1
PPG	107.52	1	False	2.48	null	107.52	3.54	103.71	True	0.89	XLB	warn	ok	ok	111.89	112.17	121	1	0.87	33.2	3	-4.15	34.7	4
HST	22.42	1	False	0.43	27	22.42	null	null	False	0.77	XLRE	strong	ok	warn	21.26	23.1	112	1	0.78	43.3	3	-2.93	40.0	2
DBRG	15.98	1	False	0.04	23	15.98	null	null	False	0.76	XLF	ok	ok	strong	15.52	15.91	65	3	0.75	56.7	3	0.45	61.1	3
AMBA	72.68	1	False	4.41	46	72.68	7.86	66.97	True	0.88	XLK	strong	strong	ok	68.31	71.96	113	1	0.86	41.2	2	1.0	32.6	1
LIN	469.89	1	False	7.52	24	469.89	3.34	454.19	True	0.81	XLB	warn	ok	warn	484.48	484.08	120	1	0.82	34.0	3	-2.93	36.8	2
MCHP	78.69	1	False	2.81	28	78.69	5.53	74.34	True	1.14	XLK	strong	strong	ok	78.61	76.13	44	2	1.12	63.2	2	3.36	48.4	1
SHOP	142.25	1	False	6.91	26	142.25	8.66	129.93	True	0.54	XLK	ok	strong	ok	129.93	137.95	73	2	0.54	53.7	2	3.11	41.5	4
