# DICT bracket.targets fields (in order): type,price,atr_dist,tp,r,date,vol_ratio,vol_validated; type codes: {'resistance': 'R', 'support': 'S', 'prior_high': 'P', 'fib_1272': 'A', 'fib_1618': 'B', 'fib_2618': 'C', 'fib_2000': 'D'}
# DICT bracket.invalid_reason: 1=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT bracket.stop_type: 1=fib_618; 2=fib_786; 3=ma100; 4=ma20; 5=ma200; 6=ma50; 7=ma_cluster; 8=swing_low; 9=swing_low_1; 10=swing_low_2; 11=swing_low_3
# DICT mp_accel_state: 1=ACCELERATING; 2=DECELERATING; 3=FLAT
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT source: 1=elder_list; 2=longlist; 3=radar-premove; 4=radar-runner
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	atr_caution	bracket.invalid_reason	bracket.risk_pct	bracket.rr	bracket.rr_tp1	bracket.stop	bracket.stop_type	bracket.targets	bracket.valid	day_vol	lens	lens.coil	lens.insti_money	lens.leadership	lens.resistance	lens.sector	lens.structure	lens_positive	lens_ranking	lens_warnings	mp_accel_state	mp_state	rank	sma_distance_pct	structure	structure_shift
UCTT	77.69	1	False	4.63	null	False	1	null	null	null	null	null	R@84.43@1.46@n@n@260424@1.47@T|R@88.5@2.34@n@n@260518@1.17@F|R@94.92@3.72@n@n@260813@0.74@F|R@98.68@4.53@n@n@260804@2.11@T|P@144.22@14.37@n@n@n@n@n|A@154.61@16.62@n@n@n@n@n|B@167.83@19.47@n@n@n@n@n|D@182.42@22.62@n@n@n@n@n|C@206.03@27.73@n@n@n@n@n	False	0.85	s,s,w,s,w,-,s	strong	warn	strong	warn	strong	strong	4	null	2	1	2	91	-1.78	26.3	3
RKLB	73.95	1	False	3.96	30	False	null	6.03	4.29	2.89	69.49	6	R@86.83@3.25@TP1@2.89@260810@1.73@T|R@93.1@4.83@TP2@4.29@260422@0.85@F|R@107.6@8.49@TP3@7.54@260701@0.72@F|R@151.0@19.45@n@17.28@260527@1.0@F|A@171.95@24.73@n@21.97@n@n@n|B@198.59@31.46@n@27.95@n@n@n|D@228.01@38.88@n@34.54@n@n@n|C@275.6@50.9@n@45.21@n@n@n	True	0.95	w,o,o,o,w,-,o	ok	ok	warn	warn	ok	ok	0	null	2	1	1	45	6.42	48.4	1
UAL	113.99	1	False	4.12	null	False	null	3.77	2.51	0.92	109.69	2	R@117.96@0.96@TP1@0.92@260529@1.17@F|R@124.79@2.62@TP2@2.51@260615@1.3@T|R@135.37@5.19@TP3@4.97@260805@0.83@F|R@138.77@6.01@n@5.76@260630@0.88@F|A@148.83@8.45@n@8.1@n@n@n|B@161.64@11.56@n@11.08@n@n@n|D@175.77@14.99@n@14.37@n@n@n|C@198.64@20.54@n@19.69@n@n@n	True	0.9	w,s,w,o,w,-,o	strong	warn	warn	warn	ok	ok	1	null	3	1	2	103	-2.01	44.2	4
NXPI	238.08	1	False	7.77	null	False	1	null	null	null	null	null	R@238.6@0.07@n@n@260911@1.02@F|R@242.49@0.57@n@n@260812@0.71@F|R@280.46@5.46@n@n@260723@1.05@F|R@298.04@7.72@n@n@260709@0.83@F|P@339.95@13.12@n@n@n@n@n|A@354.96@15.05@n@n@n@n@n|B@374.05@17.51@n@n@n@n@n|D@395.12@20.22@n@n@n@n@n|C@429.22@24.61@n@n@n@n@n	False	0.73	w,s,s,w,w,-,s	strong	strong	warn	warn	strong	warn	3	null	3	1	2	56	0.86	36.8	2
ACMR	77.3	1	False	5.08	27	False	null	6.8	2.9	0.27	72.04	4	R@78.71@0.28@TP1@0.27@260908@1.12@F|R@92.55@3.0@TP2@2.9@260807@1.38@T|R@127.19@9.82@TP3@9.48@260630@1.07@F|A@141.61@12.66@n@12.23@n@n@n|B@159.94@16.27@n@15.71@n@n@n|D@180.19@20.26@n@19.56@n@n@n|C@212.94@26.71@n@25.79@n@n@n	True	0.55	s,o,w,o,w,-,s	ok	warn	strong	warn	strong	ok	2	null	2	1	2	109	-0.06	26.3	4
UMC	24.31	2	False	0.97	null	False	null	6.95	2.75	0.88	22.62	1	R@25.8@1.54@TP1@0.88@260715@0.86@F|R@28.96@4.8@TP2@2.75@260625@1.07@F|A@31.75@7.69@TP3@4.4@n@n@n|B@35.3@11.35@n@6.5@n@n@n|D@39.22@15.4@n@8.82@n@n@n|C@45.56@21.95@n@12.57@n@n@n	True	0.49	s,w,o,o,o,-,s	warn	ok	strong	ok	strong	ok	2	null	1	2	2	23	18.4	59.8	1
AME	250.74	1	False	5.19	23	False	null	2.54	2.8	1.64	244.37	1	R@261.16@2.01@TP1@1.64@260813@0.55@F|A@268.55@3.43@TP2@2.8@n@n@n|B@277.95@5.24@TP3@4.27@n@n@n|D@288.33@7.24@n@5.9@n@n@n|C@305.12@10.48@n@8.54@n@n@n	True	0.96	o,o,s,o,s,-,o	ok	strong	ok	strong	ok	ok	2	null	0	1	1	50	3.37	53.7	1
ANET	206.55	1	True	7.68	26	False	null	4.83	2.42	0.84	196.58	4	R@214.89@1.09@TP1@0.84@260805@2.49@T|A@230.68@3.14@TP2@2.42@n@n@n|B@250.76@5.75@TP3@4.43@n@n@n|D@272.94@8.64@n@6.66@n@n@n|C@308.81@13.31@n@10.26@n@n@n	True	0.91	o,o,o,o,s,-,s	ok	ok	ok	strong	strong	ok	2	null	0	2	2	52	8.58	76.8	1
MSTR	158.61	2	False	8.87	23	False	null	11.05	2.19	1.41	141.09	4	R@183.25@2.78@TP1@1.41@260422@1.61@T|R@197.0@4.33@TP2@2.19@260511@0.83@F|A@208.12@5.58@TP3@2.83@n@n@n|B@222.27@7.18@n@3.63@n@n@n|D@237.89@8.94@n@4.53@n@n@n|C@263.16@11.79@n@5.97@n@n@n	True	0.7	w,w,o,o,o,-,s	warn	ok	warn	ok	strong	ok	1	null	2	2	2	22	34.8	64.2	1
SW	46.41	1	False	1.45	27	False	1	null	null	null	null	null	R@47.86@1.0@n@n@260625@1.45@T|R@50.19@2.61@n@n@260813@0.81@F|R@51.99@3.85@n@n@260728@1.73@T|A@54.59@5.64@n@n@n@n@n|B@57.9@7.92@n@n@n@n@n|D@61.56@10.45@n@n@n@n@n|C@67.47@14.52@n@n@n@n@n	False	0.7	w,o,w,o,o,-,o	ok	warn	warn	ok	ok	ok	0	null	2	1	2	118	-0.58	45.3	4
HLT	313.96	1	False	6.16	null	False	1	null	null	null	null	null	R@326.5@2.04@n@n@260806@0.43@F|R@333.78@3.22@n@n@260727@1.02@F|R@342.98@4.71@n@n@260707@0.65@F|R@358.0@7.16@n@n@260617@1.1@F|A@366.08@8.47@n@n@n@n@n|B@376.35@10.14@n@n@n@n@n|D@387.7@11.98@n@n@n@n@n|C@406.05@14.96@n@n@n@n@n	False	0.91	w,s,s,w,s,-,o	strong	strong	warn	strong	ok	warn	3	null	2	1	1	80	-1.25	38.9	2
VIA	29.41	2	False	1.38	34	False	1	null	null	null	null	null	P@30.74@0.96@n@n@n@n@n|A@32.21@2.03@n@n@n@n@n|B@34.09@3.39@n@n@n@n@n|D@36.16@4.89@n@n@n@n@n|C@39.51@7.32@n@n@n@n@n	False	1.0	w,o,w,s,o,-,s	ok	warn	warn	ok	strong	strong	2	null	2	1	2	25	19.05	76.8	3
