# DICT bracket.targets fields (in order): type,price,tp,r,atr_dist,date,vol_ratio,vol_validated; type codes: {'resistance': 'R', 'support': 'S', 'prior_high': 'P', 'fib_1272': 'A', 'fib_1618': 'B', 'fib_2618': 'C', 'fib_2000': 'D'}
# DICT source: 1=elder_list; 2=longlist; 3=qs; 4=radar-premove
ticker	entry	source	held	atr_14d	days_to_earnings	bar_high	bar_low	bar_open	bar_range_5d	base_low_20d	bracket.targets	cci_20	days_since_swing_high	fib_swing_low	ma_20	ma_20_slope_5d_pct	ma_40	pct_run_10d	prior_bar_high	prior_bar_low	ret_63d
VSXY	83.81	1	False	3.89	50	84.4	82.19	82.99	[1.99, 3.77, 2.3, 2.71, 2.21]	71.72	R@88.57@TP1@1.15@1.22@260626@1.91@T|R@92.65@TP2@2.14@2.27@260826@0.9@F|R@102.46@TP3@4.5@4.79@260810@1.07@F|A@110.04@n@6.34@6.74@n@n@n|B@119.68@n@8.66@9.22@n@n@n|D@130.32@n@11.23@11.95@n@n@n|C@147.54@n@15.39@16.38@n@n@n	52.78	22	74.6	79.67	-1.66	84.8	14.2	83.97	81.26	0.98
CRDO	195.97	1	False	13.17	48	196.43	187.0	188.91	[5.79, 12.27, 10.83, 6.89, 9.43]	149.14	R@198.97@n@n@0.23@260424@0.89@F|R@210.97@n@n@1.14@260511@1.11@F|R@241.14@n@n@3.43@260723@0.54@F|R@280.5@n@n@6.42@260706@0.67@F|P@308.67@n@n@8.56@n@n@n|A@338.23@n@n@10.8@n@n@n|B@375.83@n@n@13.66@n@n@n|D@417.34@n@n@16.81@n@n@n|C@484.5@n@n@21.91@n@n@n	33.19	21	200.0	182.02	-5.01	209.81	22.24	196.15	189.26	-26.89
ACMR	76.18	1	False	5.29	28	78.62	74.14	78.1	[1.67, 2.79, 4.36, 10.38, 4.48]	62.78	R@78.71@n@n@0.48@260908@1.12@F|R@92.55@n@n@3.1@260807@1.38@T|R@127.19@n@n@9.65@260630@1.07@F|A@141.61@n@n@12.38@n@n@n|B@159.94@n@n@15.85@n@n@n|D@180.19@n@n@19.68@n@n@n|C@212.94@n@n@25.88@n@n@n	74.32	13	74.19	72.2	-1.38	76.22	5.24	82.78	72.4	-28.71
VIA	29.98	2	False	1.38	35	30.74	29.09	29.48	[1.17, 1.18, 1.3, 2.35, 1.65]	25.32	P@30.74@n@n@0.55@n@n@n|A@32.21@n@n@1.62@n@n@n|B@34.09@n@n@2.99@n@n@n|D@36.16@n@n@4.49@n@n@n|C@39.51@n@n@6.93@n@n@n	194.77	21	25.32	27.52	1.23	25.95	13.73	30.26	27.91	95.06
ESTC	91.28	2	False	4.09	39	91.46	89.34	91.0	[3.21, 3.16, 3.57, 2.75, 2.12]	82.0	R@108.0@TP1@2.68@4.09@260828@3.48@T|A@115.95@TP2@3.95@6.03@n@n@n|B@126.05@TP3@5.57@8.49@n@n@n|D@137.21@n@7.36@11.22@n@n@n|C@155.26@n@10.25@15.63@n@n@n	20.39	20	78.79	89.28	1.92	83.58	9.34	91.52	88.77	70.3
STT	181.09	3	False	4.27	null	182.17	179.09	180.52	[2.59, 2.41, 7.05, 4.01, 3.08]	176.96	R@187.0@TP1@1.06@1.38@260727@n@n|R@192.51@TP2@2.04@2.68@260716@n@n|R@195.18@TP3@2.52@3.3@260817@n@n|A@199.46@n@3.29@4.3@n@n@n|B@203.95@n@4.09@5.35@n@n@n|D@208.9@n@4.97@6.51@n@n@n|C@216.92@n@6.41@8.39@n@n@n	-108.63	15	182.96	188.02	-1.03	187.92	-5.34	182.86	178.85	6.83
LRCX	307.16	1	False	15.13	null	307.22	298.86	301.86	[15.63, 15.65, 15.31, 11.19, 8.36]	265.37	R@321.41@n@n@0.94@260827@0.78@F|R@345.28@n@n@2.52@260817@0.8@F|R@438.5@n@n@8.68@260630@1.24@T|A@459.47@n@n@10.07@n@n@n|B@486.14@n@n@11.83@n@n@n|D@515.59@n@n@13.77@n@n@n|C@563.23@n@n@16.92@n@n@n	43.84	12	361.41	296.6	-0.78	305.35	3.07	309.75	298.56	-23.56
SRAD	13.09	1	False	0.61	28	13.32	12.82	13.13	[0.37, 0.66, 1.4, 0.74, 0.5]	12.06	R@13.46@n@n@0.6@260910@2.11@T|R@14.06@n@n@1.58@260817@0.87@F|R@14.44@n@n@2.2@260507@0.48@F|R@15.14@n@n@3.34@260728@0.59@F|P@18.62@n@n@9.01@n@n@n|A@19.69@n@n@10.75@n@n@n|B@21.04@n@n@12.95@n@n@n|D@22.54@n@n@15.39@n@n@n|C@24.96@n@n@19.33@n@n@n	53.83	11	14.7	12.86	-0.02	13.02	3.07	13.74	13.0	-9.41
SHO	11.14	1	False	0.2	30	11.18	10.99	11.03	[0.18, 0.16, 0.21, 0.15, 0.19]	10.78	R@11.19@n@n@0.25@260911@0.53@F|R@11.46@n@n@1.58@260826@0.54@F|R@11.95@n@n@3.99@260803@0.96@F|R@12.07@n@n@4.58@260622@1.09@F|A@12.73@n@n@7.83@n@n@n|B@13.57@n@n@11.97@n@n@n|D@14.5@n@n@16.55@n@n@n|C@16.0@n@n@23.94@n@n@n	53.25	10	9.64	11.05	-0.49	11.14	1.55	11.1	10.95	-3.97
JCI	145.36	1	False	3.46	28	146.45	143.57	144.15	[3.03, 2.89, 2.65, 1.92, 2.88]	135.79	R@145.88@n@n@0.15@260514@1.08@F|R@149.38@n@n@1.16@260618@1.69@T|R@151.18@n@n@1.68@260701@1.71@T|R@157.06@n@n@3.38@260805@1.33@T|A@162.72@n@n@5.01@n@n@n|B@169.93@n@n@7.09@n@n@n|D@177.88@n@n@9.39@n@n@n|C@190.75@n@n@13.1@n@n@n	71.34	10	136.24	142.48	0.38	145.69	1.79	147.23	145.31	-0.09
DRS	37.59	1	False	1.16	24	38.17	37.09	37.11	[0.77, 0.97, 1.61, 0.75, 1.08]	35.12	R@45.94@TP1@3.38@7.19@260707@0.6@F|R@48.95@TP2@4.6@9.78@260529@1.4@T|R@50.59@TP3@5.26@11.19@260612@0.77@F|A@53.86@n@6.59@14.0@n@n@n|B@58.03@n@8.28@17.59@n@n@n|D@62.63@n@10.14@21.55@n@n@n|C@70.07@n@13.15@27.95@n@n@n	44.88	30	38.55	37.17	-1.35	40.39	3.53	37.57	36.82	-15.26
DDOG	256.92	1	False	11.7	29	258.39	247.27	249.6	[10.36, 18.48, 5.78, 9.11, 11.12]	203.24	R@276.7@TP1@1.38@1.69@260715@0.7@F|R@292.72@TP2@2.5@3.06@260805@1.32@T|A@307.69@TP3@3.54@4.34@n@n@n|B@326.74@n@4.87@5.97@n@n@n|D@347.77@n@6.34@7.76@n@n@n|C@381.79@n@8.71@10.67@n@n@n	149.19	21	237.67	230.71	1.91	239.66	15.88	256.71	247.6	16.28
WBD	30.84	2	False	0.48	29	30.87	30.71	30.79	[0.39, 1.27, 0.07, 0.14, 0.16]	27.74	P@30.92@n@n@0.17@n@n@n|A@32.46@n@n@3.37@n@n@n|B@34.42@n@n@7.44@n@n@n|D@36.59@n@n@11.95@n@n@n|C@40.09@n@n@19.23@n@n@n	172.81	10	25.25	28.76	1.39	28.09	9.36	30.82	30.68	14.31
UCTT	76.52	1	False	4.86	null	77.66	74.24	75.08	[2.66, 2.89, 4.75, 5.31, 3.42]	62.68	R@84.43@TP1@1.41@1.63@260424@1.47@T|R@88.5@TP2@2.14@2.47@260518@1.17@F|R@94.92@TP3@3.28@3.79@260813@0.74@F|R@98.68@n@3.95@4.56@260804@2.11@T|P@144.22@n@12.07@13.94@n@n@n|A@154.61@n@13.92@16.07@n@n@n|B@167.83@n@16.28@18.8@n@n@n|D@182.42@n@18.88@21.8@n@n@n|C@206.03@n@23.09@26.66@n@n@n	107.55	12	106.02	70.91	0.38	76.48	7.58	77.68	72.37	-36.58
IR	74.78	1	False	2.05	24	75.86	74.58	75.48	[1.22, 1.28, 0.99, 3.11, 1.28]	70.94	R@83.2@TP1@2.19@4.12@260630@0.99@F|R@85.1@TP2@2.69@5.04@260716@1.92@T|R@89.1@TP3@3.73@7.0@260414@1.25@T|R@91.78@n@4.43@8.31@260806@1.15@F|A@95.11@n@5.29@9.94@n@n@n|B@99.34@n@6.4@12.0@n@n@n|D@104.01@n@7.61@14.29@n@n@n|C@111.57@n@9.58@17.98@n@n@n	21.28	36	79.55	74.39	-1.94	79.11	2.31	76.46	73.35	-8.47
AMD	629.26	2	False	25.58	27	630.8	599.24	600.27	[18.38, 34.42, 18.21, 16.61, 31.56]	440.5	P@630.8@n@n@0.06@n@n@n|A@682.56@n@n@2.08@n@n@n|B@748.41@n@n@4.66@n@n@n|D@821.1@n@n@7.5@n@n@n|C@938.71@n@n@12.1@n@n@n	152.18	22	440.5	520.41	7.03	501.7	24.95	624.69	608.08	18.16
PM	191.5	1	False	4.48	null	194.71	191.14	192.41	[4.44, 2.64, 5.25, 4.45, 3.57]	181.01	R@193.05@n@n@0.35@260519@1.11@F|R@195.49@n@n@0.89@260916@0.73@F|R@207.76@n@n@3.63@260728@1.52@T|A@216.46@n@n@5.57@n@n@n|B@227.54@n@n@8.05@n@n@n|D@239.76@n@n@10.78@n@n@n|C@259.54@n@n@15.19@n@n@n	78.23	7	175.76	189.23	-0.28	189.18	0.91	193.0	188.55	7.03
ORLY	86.24	1	False	1.98	23	87.45	85.78	86.55	[1.18, 2.06, 3.1, 1.72, 1.67]	82.83	R@91.89@n@n@2.86@260615@0.84@F|R@93.24@n@n@3.54@260728@1.34@T|R@94.72@n@n@4.29@260422@0.87@F|R@100.63@n@n@7.28@260501@1.5@T|A@103.46@n@n@8.71@n@n@n|B@107.05@n@n@10.53@n@n@n|D@111.02@n@n@12.53@n@n@n|C@117.44@n@n@15.78@n@n@n	8.95	37	90.24	86.26	-1.33	88.63	0.85	86.43	84.71	-0.76
DT	58.68	2	False	1.84	28	59.41	57.69	58.86	[2.31, 1.46, 1.44, 1.92, 1.72]	49.56	P@59.41@n@n@0.4@n@n@n|A@62.09@n@n@1.85@n@n@n|B@65.5@n@n@3.7@n@n@n|D@69.26@n@n@5.74@n@n@n|C@75.35@n@n@9.05@n@n@n	156.94	19	49.56	53.95	3.52	51.29	14.12	59.31	57.39	45.68
NVDA	224.58	2	False	6.03	38	224.94	221.09	222.08	[4.7, 6.94, 3.48, 4.93, 3.85]	208.93	R@227.92@n@n@0.55@260817@0.78@F|R@232.28@n@n@1.28@260602@1.11@F|R@236.54@n@n@1.98@260514@1.19@F|A@247.91@n@n@3.87@n@n@n|B@262.37@n@n@6.27@n@n@n|D@278.34@n@n@8.92@n@n@n|C@304.17@n@n@13.2@n@n@n	22.2	15	194.74	221.9	1.51	218.73	2.85	228.95	224.02	14.73
WT	23.99	2	False	0.96	25	24.08	23.44	23.57	[1.08, 0.83, 0.99, 0.82, 0.64]	21.6	R@25.91@n@n@2.01@260903@1.24@T|A@26.58@n@n@2.71@n@n@n|B@27.42@n@n@3.59@n@n@n|D@28.36@n@n@4.57@n@n@n|C@29.87@n@n@6.15@n@n@n	-1.13	16	23.46	23.78	-0.14	23.05	-1.11	24.23	23.41	38.59
