# DICT source: 1=elder_list; 2=longlist; 3=radar-premove; 4=radar-runner
ticker	entry	source	held	atr_14d	days_to_earnings	bracket.risk_pct	bracket.rr	bracket.stop	cohort_hit_rate_20d	cohort_n	elder_context.volume.avg_vol_20d	gap_risk_flag	high_52w	low_52w	vol_30d_ann
AAL	13.87	1	False	0.47	null	4.04	2.73	13.31	46.1	549	70886861	False	18.15	10.18	0.3115
DAL	84.94	1	False	2.41	null	5.03	2.36	80.67	46.1	549	6940155	False	93.66	55.65	0.3017
TEM	85.01	2	False	4.83	26	null	null	null	44.1	1333	7074379	False	103.25	41.55	1.0451
MSFT	516.17	2	False	11.78	null	null	null	null	null	0	21799517	False	542.07	352.83	0.2343
DJT	9.14	1	False	0.4	29	null	null	null	44.0	956	3030983	False	17.62	7.06	0.4895
GME	23.39	2	False	0.88	51	3.76	2.99	22.51	null	0	9653804	False	27.69	17.87	0.3903
OUST	43.72	1	False	2.65	26	null	null	null	50.7	921	2083695	False	62.52	16.63	0.7464
PLTR	189.67	2	False	6.88	25	null	null	null	null	0	26350845	False	207.18	107.27	0.4557
MXL	93.84	2	False	6.54	null	null	null	null	44.1	1333	2831471	False	128.03	13.05	1.03
PEB	18.42	1	False	0.51	23	null	null	null	57.4	209	2322508	False	19.75	10.2	0.2119
MCHP	78.69	1	False	2.81	28	5.53	4.81	74.34	44.1	1333	8505998	False	102.92	49.02	0.353
CAT	821.58	1	False	22.78	27	3.9	2.07	789.56	59.8	301	2409389	False	1064.9	463.72	0.2975
DDOG	268.13	1	False	12.57	28	null	null	null	50.7	921	3678033	False	288.15	102.62	0.5472
INTC	123.0	2	False	6.26	null	null	null	null	null	0	105630713	False	140.94	33.55	0.6653
DBRG	15.98	1	False	0.04	23	null	null	null	47.1	102	5837414	False	15.99	9.17	0.0261
ORLY	86.12	1	False	1.93	null	3.96	2.09	82.71	52.3	3960	6547540	False	107.81	82.73	0.2199
GTES	26.86	1	False	0.84	24	null	null	null	55.4	704	1876844	False	29.84	21.04	0.2962
LITE	941.65	1	False	61.59	26	null	null	null	46.1	549	4389238	False	1053.09	149.61	0.8267
VIA	29.41	2	False	1.38	34	null	null	null	null	0	891625	False	53.93	13.31	0.4186
CRWV	87.59	1	False	5.47	30	null	null	null	56.5	573	29116381	False	143.08	60.82	0.7053
MSTR	158.61	2	False	8.87	23	11.05	2.19	141.09	null	0	24792518	False	359.69	82.31	1.0215
AMGN	414.61	1	False	10.6	26	6.05	2.3	389.51	44.0	956	3046537	False	444.12	271.18	0.4053
SFNC	23.23	1	False	0.45	null	null	null	null	47.6	3574	1371810	False	24.12	17.26	0.195
AMD	630.63	2	False	24.71	26	null	null	null	null	0	21613455	False	630.63	159.46	0.5555
ILMN	270.0	1	False	11.48	23	null	null	null	50.7	921	3963680	False	273.9	91.0	0.548
HCA	435.61	1	False	13.48	null	3.24	5.43	421.51	59.8	301	1546516	False	545.13	361.32	0.3041
RKLB	73.95	1	False	3.96	30	6.03	4.29	69.49	50.7	921	20114560	False	150.23	39.48	0.529
APLE	16.19	1	False	0.32	28	2.16	2.49	15.84	null	0	2630501	False	17.07	11.17	0.2028
ETN	439.98	2	False	14.21	26	4.75	3.38	419.1	null	0	2076222	False	459.96	315.82	0.4239
RAL	70.03	2	False	2.29	27	null	null	null	null	0	1483687	False	73.63	38.39	0.3603
TER	398.38	1	False	20.4	null	null	null	null	50.7	921	2505151	False	483.84	132.08	0.7147
IRDM	48.75	1	False	1.08	null	2.75	3.79	47.41	53.8	182	1075561	False	55.72	15.84	0.2187
ALGM	36.76	1	False	1.81	23	7.45	3.58	34.02	null	0	2324100	False	69.62	22.8	0.5457
AZN	166.58	1	False	3.45	24	null	null	null	52.5	866	3050277	False	209.48	146.1	0.2313
ROST	236.12	1	False	5.08	38	null	null	null	null	0	2024576	False	255.23	147.71	0.2631
LSCC	128.05	1	False	5.72	25	null	null	null	null	0	1639693	False	155.27	61.73	0.584
VEEV	280.68	1	False	8.62	42	3.8	2.92	270.02	41.2	34	1731199	False	306.22	151.43	0.5149
HST	22.42	1	False	0.43	27	null	null	null	null	0	8002955	False	25.54	15.82	0.1606
PFE	28.67	2	False	0.51	26	null	null	null	47.6	3574	33556889	False	29.02	23.6	0.1887
TSM	450.61	2	False	10.51	null	4.13	2.4	431.99	null	0	9736076	False	477.57	273.23	0.2835
BETA	23.85	1	False	1.64	null	7.34	3.09	22.1	50.7	921	3970244	False	null	null	0.6977
ISRG	405.18	2	False	11.37	null	null	null	null	null	0	2411513	False	592.85	332.02	0.3089
SHOP	142.25	1	False	6.91	26	8.66	2.4	129.93	44.0	956	10398614	False	179.01	95.4	0.5394
MKSI	260.82	1	False	12.17	27	null	null	null	null	0	1335330	False	444.8	121.26	0.5616
TMO	675.0	2	False	15.8	null	null	null	null	null	0	2168363	False	678.39	438.34	0.2472
APH	84.09	1	False	2.81	22	null	null	null	44.0	956	14409397	False	88.16	59.58	0.4142
GEV	957.63	1	False	37.01	null	null	null	null	57.4	209	2247366	False	1174.86	547.96	0.4659
LLY	1183.46	1	False	32.5	23	2.76	2.02	1150.81	46.1	549	2345695	False	1280.34	714.59	0.2761
ANET	206.55	1	True	7.68	26	4.83	2.42	196.58	44.1	1333	4772139	False	210.5	116.13	0.4305
ACMR	77.3	1	False	5.08	27	6.8	2.9	72.04	null	0	1087326	False	126.89	29.67	0.6731
ARM	310.32	2	False	18.97	27	6.65	6.9	289.68	null	0	5300650	False	439.46	104.55	0.7973
