# DICT choch_state: 1=BEARISH; 2=BULLISH
# DICT mp_accel_state: 1=ACCELERATING; 2=DECELERATING; 3=FLAT
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT sector_trend_state: 1=Momentum Building — Add; 2=Momentum Fading — Hold, Don't Add; 3=Recovering From Weakness — Watch for Entry
# DICT source: 1=elder_list; 2=longlist; 3=qs; 4=radar-premove
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	choch_state	day_vol	elder_5d	elder_context.vcp.base_range_pct	elder_context.vcp.vcp_tightness_pct	inside_bar	ma_20	ma_200	ma_50	mp_accel_state	mp_state	pin_bar_state	sc_momentum	sector_trend_state	sma_distance_pct	squeeze_breakout_state	squeeze_breakout_volume_confirmed	structure_shift	was_squeezed
ICHR	58.4	1	False	3.6	27	1	0.91	[5, 7, 7, 9, 10]	18.9	56.7	False	55.11	56.68	66.06	1	1	NONE	50.1	2	-11.59	NONE	False	2	True
AAL	13.35	1	False	0.46	null	1	0.93	[5, 5, 8, 9, 10]	12.1	72.0	False	13.18	13.9	14.25	1	1	NONE	46.4	3	-6.29	NONE	False	4	True
COHU	64.48	2	False	3.81	25	2	0.61	[8, 10, 10, 10, 10]	40.0	50.4	False	52.93	42.3	52.6	1	1	NONE	71.8	2	22.59	NONE	False	1	False
GEV	951.82	1	False	38.15	24	2	0.73	[5, 8, 9, 9, 9]	12.4	40.1	True	931.07	907.04	976.48	1	1	NONE	48.8	3	-2.53	NONE	False	4	True
NXPI	235.44	1	False	7.79	23	1	1.16	[7, 7, 9, 10, 10]	9.8	81.3	True	227.11	245.43	237.67	1	2	NONE	59.2	2	-0.94	NONE	False	2	True
GILD	151.37	2	False	3.65	25	2	1.0	[7, 7, 8, 8, 8]	7.6	64.1	False	148.38	135.7	140.83	2	2	NONE	67.8	3	7.49	NONE	False	4	True
IR	76.22	1	False	2.08	25	1	2.16	[3, 3, 3, 7, 8]	12.7	55.5	False	74.65	81.74	80.1	1	1	NONE	45.6	3	-4.85	NONE	False	2	False
MKSI	262.72	1	False	13.07	29	1	1.12	[3, 5, 7, 9, 10]	21.2	47.6	False	255.18	268.47	286.13	1	1	NONE	51.2	2	-8.18	NONE	False	2	False
COIN	198.13	1	False	11.95	25	2	0.69	[3, 6, 10, 10, 10]	25.5	89.3	False	183.31	188.15	169.11	2	2	NONE	62.2	3	17.16	NONE	False	3	False
TER	389.14	1	False	21.6	23	2	0.78	[3, 7, 10, 10, 10]	20.2	65.1	True	360.77	327.78	366.56	1	1	NONE	61.6	2	6.16	NONE	False	3	False
ONTO	282.31	1	False	16.55	30	1	0.69	[3, 5, 7, 10, 10]	24.1	57.3	False	267.85	248.66	281.03	1	1	NONE	50.1	2	0.46	NONE	False	2	False
RKLB	70.31	1	False	3.88	32	2	1.01	[8, 7, 10, 10, 10]	19.5	73.1	False	65.2	80.86	69.41	1	1	NONE	54.3	3	1.3	NONE	False	1	True
YMM	8.34	1	False	0.22	37	1	0.99	[3, 3, 3, 7, 8]	11.2	52.0	True	8.39	9.16	8.87	1	2	NONE	33.5	2	-5.96	NONE	False	4	False
SHOP	142.34	1	False	7.22	28	1	2.19	[3, 3, 5, 10, 10]	23.1	77.4	False	138.63	130.09	137.18	1	1	NONE	52.8	2	3.76	NONE	False	4	False
ACMR	80.67	1	False	5.19	29	2	3.0	[3, 3, 7, 10, 10]	28.3	79.9	False	72.35	65.59	77.8	1	1	NONE	54.8	2	3.69	NONE	False	1	False
LITE	937.0	1	False	64.06	28	2	0.73	[3, 7, 8, 10, 10]	22.5	54.5	False	912.92	723.25	850.82	1	2	NONE	56.9	2	10.13	NONE	False	4	True
VRNS	48.35	2	False	1.96	23	2	0.57	[10, 7, 10, 7, 7]	19.8	32.5	True	45.95	33.48	44.53	1	1	NONE	71.8	2	8.58	NONE	False	3	False
PANW	393.3	2	False	18.62	39	2	0.86	[10, 7, 10, 10, 10]	20.2	49.6	False	358.79	243.38	355.39	1	1	NONE	71.5	2	10.67	NONE	False	3	False
ACA	146.5	2	False	0.46	25	2	0.98	[5, 6, 8, 8, 8]	1.2	77.4	False	145.53	125.89	145.26	1	1	NONE	67.9	3	0.85	NONE	False	3	False
RAL	69.99	2	False	2.38	29	1	0.81	[10, 10, 10, 10, 10]	15.9	42.5	False	65.23	56.06	66.92	1	1	NONE	69.9	3	4.59	NONE	False	4	False
SRAD	13.17	1	False	0.62	29	2	1.55	[3, 2, 0, 7, 9]	14.5	100.0	True	12.85	16.3	13.38	1	1	NONE	48.4	2	-1.54	NONE	False	2	True
ROST	233.98	1	False	5.3	40	2	0.73	[5, 3, 7, 8, 9]	8.8	52.3	False	229.57	216.0	237.67	1	2	NONE	42.5	3	-1.55	NONE	False	3	True
NDAQ	95.44	1	False	2.18	null	1	1.08	[3, 5, 6, 7, 9]	13.8	66.4	False	94.85	90.64	94.8	1	1	NONE	55.6	3	0.67	NONE	False	4	False
CDNS	309.09	1	False	10.5	22	1	1.36	[3, 3, 7, 9, 10]	24.1	52.3	False	301.26	325.66	320.14	1	1	NONE	42.0	2	-3.45	NONE	False	2	False
