# DICT bracket.stop_type: 1=fib_618; 2=fib_786; 3=ma100; 4=ma20; 5=ma200; 6=ma50; 7=ma_cluster; 8=swing_low; 9=swing_low_1; 10=swing_low_2; 11=swing_low_3
# DICT choch_state: 1=BEARISH; 2=BULLISH
# DICT mp_accel_state: 1=ACCELERATING; 2=DECELERATING; 3=FLAT
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT source: 1=elder_list; 2=longlist; 3=radar-premove; 4=radar-runner
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	bracket.risk_pct	bracket.stop	bracket.stop_atr_dist	bracket.stop_type	choch_state	day_vol	div_bear_count	div_state	energy	flow	lens.coil	lens.resistance	lens.structure	ma_200	ma_50	mp_accel_state	mp_state	pin_bar_state	sma_distance_pct	structure	structure_shift
TEVA	39.19	2	False	1.25	26	3.19	37.94	1.0	4	2	0.72	0	NONE	71.4	65.8	warn	ok	ok	33.44	36.1	2	2	NONE	8.56	66.3	1
TEM	85.01	2	False	4.83	26	null	null	null	null	2	1.2	0	NONE	61.3	67.1	warn	strong	ok	56.25	59.37	2	2	NONE	43.18	70.9	1
STX	916.83	2	False	49.4	null	null	null	null	null	2	0.72	2	MIXED	71.4	78.9	ok	warn	ok	635.26	849.75	1	2	NONE	7.89	47.4	4
ANET	206.55	1	True	7.68	26	4.83	196.58	1.3	4	2	0.91	0	NONE	79.0	47.4	ok	strong	ok	157.04	190.23	2	2	NONE	8.58	76.8	1
COHU	67.0	1	False	3.72	23	null	null	null	null	2	0.77	0	NONE	62.2	53.9	warn	strong	ok	42.71	53.08	1	2	NONE	26.22	68.4	1
SNDK	1777.8	2	False	111.61	28	6.41	1663.79	1.02	4	2	0.67	0	NONE	78.2	68.4	ok	ok	ok	1107.91	1516.76	1	1	NONE	17.21	55.8	4
LLY	1183.46	1	False	32.5	23	2.76	1150.81	1.0	7	1	0.81	0	NONE	59.4	59.2	strong	ok	ok	1070.09	1177.41	1	1	NONE	0.51	36.8	4
DAL	84.94	1	False	2.41	null	5.03	80.67	1.77	11	1	1.03	0	NONE	61.3	64.5	ok	warn	ok	75.44	84.05	1	1	NONE	1.06	41.1	4
TXN	278.07	1	False	8.33	null	4.79	264.74	1.6	11	2	0.64	0	BULLISH	62.2	78.9	ok	ok	strong	246.23	271.01	1	1	NONE	2.61	49.5	3
WRBY	26.71	1	False	1.56	28	null	null	null	null	2	1.27	0	NONE	61.3	60.5	strong	warn	ok	25.23	25.44	1	1	NONE	4.98	30.5	1
UMC	24.31	2	False	0.97	null	6.95	22.62	1.75	1	2	0.49	0	NONE	62.2	68.4	warn	ok	ok	15.39	20.53	2	2	NONE	18.4	59.8	1
TEL	218.59	1	False	6.08	27	null	null	null	null	2	0.68	0	NONE	70.6	34.2	ok	strong	ok	214.9	208.03	1	1	NONE	5.08	70.5	1
MSFT	516.17	2	False	11.78	null	null	null	null	null	2	1.78	0	NONE	79.8	82.9	strong	strong	ok	432.06	475.81	2	1	NONE	8.48	76.8	4
BE	288.7	1	False	19.2	null	null	null	null	null	2	1.05	1	BEARISH	63.9	22.4	ok	strong	strong	202.96	229.68	2	2	NONE	25.7	73.5	3
RAL	70.03	2	False	2.29	27	null	null	null	null	1	0.79	0	NONE	57.1	73.7	--	--	ok	56.24	67.03	1	1	NONE	4.47	65.3	4
A	172.79	2	False	4.9	40	null	null	null	null	2	0.99	0	NONE	63.0	71.1	warn	strong	ok	132.08	148.75	1	3	NONE	16.16	78.9	1
SHOP	142.25	1	False	6.91	26	8.66	129.93	1.78	5	1	0.54	0	NONE	60.5	77.6	ok	ok	ok	129.93	137.95	1	2	NONE	3.11	41.5	4
OKTA	195.19	2	False	9.91	46	7.26	181.02	1.43	4	2	0.83	0	NONE	70.6	72.4	warn	warn	ok	109.17	158.19	3	2	NONE	23.39	55.8	1
SDGR	28.85	2	False	1.75	27	null	null	null	null	2	0.64	0	NONE	72.3	84.2	--	--	ok	15.66	19.79	2	2	NONE	45.79	71.6	1
CRWV	87.59	1	False	5.47	30	null	null	null	null	2	0.8	0	BULLISH	61.3	59.2	strong	warn	warn	92.18	85.76	1	1	NONE	2.13	35.2	2
KLAC	187.92	1	False	7.89	null	5.07	178.4	1.21	4	1	0.74	0	BULLISH	55.0	51.3	strong	warn	warn	175.94	188.89	1	2	NONE	-0.51	42.1	2
DRH	12.49	1	False	0.28	26	null	null	null	null	1	0.68	0	BULLISH	60.6	57.9	strong	ok	ok	10.81	12.54	1	1	NONE	-0.44	33.7	4
LITE	941.65	1	False	61.59	26	null	null	null	null	2	0.87	1	BEARISH	82.4	34.2	strong	ok	ok	729.23	859.07	2	2	NONE	9.61	60.8	4
MU	1082.28	2	False	47.98	null	null	null	null	null	2	0.77	1	BEARISH	69.7	73.7	warn	strong	ok	661.1	941.62	1	2	NONE	14.94	74.5	1
AZN	166.58	1	False	3.45	24	null	null	null	null	2	0.62	0	NONE	65.5	35.5	strong	strong	strong	182.39	164.03	2	1	NONE	1.56	54.7	3
HON	212.55	1	False	4.62	null	null	null	null	null	1	0.56	0	NONE	47.5	76.3	strong	warn	warn	230.21	223.53	1	2	NONE	-4.91	28.4	2
IRDM	48.75	1	False	1.08	null	2.75	47.41	1.24	7	2	1.03	0	BULLISH	74.8	22.4	strong	strong	strong	36.24	47.74	1	1	NONE	2.12	49.5	3
GEV	957.63	1	False	37.01	null	null	null	null	null	2	0.58	0	BULLISH	59.4	51.3	strong	warn	ok	910.33	972.9	1	1	NONE	-1.57	44.2	4
P	126.0	1	False	7.01	46	null	null	null	null	2	0.85	0	NONE	68.1	36.8	ok	strong	ok	77.09	96.03	1	1	NONE	31.22	67.4	1
WDC	456.81	1	False	27.6	23	null	null	null	null	1	0.89	2	MIXED	52.9	61.8	strong	warn	warn	393.26	473.94	1	2	NONE	-3.61	26.3	2
LSCC	128.05	1	False	5.72	25	null	null	null	null	2	0.9	0	BULLISH	55.5	78.9	warn	warn	ok	111.17	121.44	1	2	NONE	5.44	36.8	1
NTSK	17.67	2	False	0.95	54	null	null	null	null	2	0.75	0	NONE	64.7	61.8	warn	ok	ok	12.89	14.75	1	2	NONE	19.81	60.4	1
META	751.66	2	False	27.19	null	null	null	null	null	2	1.14	0	NONE	73.1	63.2	warn	ok	ok	626.47	615.75	1	2	NONE	22.07	77.9	1
GE	327.09	1	False	8.65	null	4.92	311.0	1.86	10	1	1.0	0	NONE	46.2	71.1	strong	warn	warn	323.28	344.74	1	1	NONE	-5.12	31.6	2
ACMR	77.3	1	False	5.08	27	6.8	72.04	1.04	4	2	0.55	0	NONE	45.7	68.4	ok	warn	ok	66.0	77.35	1	2	NONE	-0.06	26.3	4
PLTR	189.67	2	False	6.88	25	null	null	null	null	2	0.64	0	NONE	76.5	78.9	ok	strong	strong	152.02	163.93	1	1	NONE	15.7	78.9	3
SW	46.41	1	False	1.45	27	null	null	null	null	1	0.7	0	NONE	56.3	31.6	ok	ok	ok	43.09	46.68	1	2	NONE	-0.58	45.3	4
ESTC	88.12	3	False	4.18	null	6.77	82.15	1.43	9	2	0.6	0	NONE	68.1	76.3	strong	warn	ok	64.71	79.57	1	2	NONE	10.75	60.0	4
AME	250.74	1	False	5.19	23	2.54	244.37	1.23	1	2	0.96	0	NONE	62.2	78.9	ok	strong	ok	229.04	242.58	1	1	NONE	3.37	53.7	1
FLEX	114.68	1	False	5.59	27	null	null	null	null	1	0.9	1	BEARISH	67.2	27.6	strong	ok	warn	98.52	115.2	1	2	NONE	-0.45	51.6	2
CNK	37.77	2	False	1.16	27	3.94	36.28	1.29	10	2	0.93	0	NONE	76.5	84.2	ok	ok	ok	29.46	35.73	1	1	NONE	5.72	55.8	1
ILMN	270.0	1	False	11.48	23	null	null	null	null	2	1.32	0	NONE	66.4	13.2	warn	strong	ok	159.29	210.8	1	3	NONE	28.09	68.8	1
ALGM	36.76	1	False	1.81	23	7.45	34.02	1.51	10	1	1.12	0	BULLISH	50.8	72.4	strong	warn	warn	40.04	39.63	1	1	NONE	-7.23	32.6	2
WBD	30.86	2	False	0.45	28	null	null	null	null	2	0.55	0	NONE	68.1	88.2	--	--	ok	27.64	27.74	1	2	NONE	11.25	76.8	1
HST	22.42	1	False	0.43	27	null	null	null	null	1	0.77	0	NONE	50.8	47.4	strong	ok	warn	21.26	23.1	1	1	NONE	-2.93	40.0	2
DBRG	15.98	1	False	0.04	23	null	null	null	null	2	0.76	0	NONE	63.9	65.8	ok	strong	strong	15.52	15.91	1	1	NONE	0.45	61.1	3
HLT	313.96	1	False	6.16	null	null	null	null	null	1	0.91	0	NONE	60.6	71.1	strong	strong	warn	315.04	317.94	1	1	NONE	-1.25	38.9	2
ASX	44.31	2	False	1.74	23	null	null	null	null	2	0.63	0	NONE	63.0	73.7	warn	strong	ok	29.94	38.37	1	2	NONE	15.48	76.8	1
AMAT	485.0	1	False	20.07	33	6.84	451.81	1.65	4	2	0.74	0	BULLISH	53.9	78.9	ok	warn	ok	421.42	490.25	1	1	NONE	-1.07	26.3	1
DHR	224.49	1	False	5.75	null	null	null	null	null	2	1.13	0	BULLISH	60.5	64.5	warn	strong	strong	201.8	205.89	1	1	NONE	9.03	73.7	3
MSTR	158.61	2	False	8.87	23	11.05	141.09	1.98	4	2	0.7	0	NONE	62.2	73.7	warn	ok	ok	136.54	117.66	2	2	NONE	34.8	64.2	1
QCOM	201.97	2	False	8.66	27	5.42	191.02	1.26	8	2	1.23	0	NONE	61.3	55.3	warn	strong	ok	169.13	170.24	3	2	NONE	18.64	86.3	1
LRCX	315.21	1	False	14.76	null	null	null	null	null	1	0.75	3	BEARISH	73.1	76.3	ok	warn	warn	270.93	304.58	1	2	NONE	3.49	42.1	2
ROST	236.12	1	False	5.08	38	null	null	null	null	2	0.83	0	BULLISH	58.2	48.7	strong	ok	strong	216.58	237.93	1	1	NONE	-0.76	33.7	3
ISRG	405.18	2	False	11.37	null	null	null	null	null	2	1.04	0	NONE	67.2	73.7	warn	strong	ok	450.9	373.93	1	1	NONE	8.36	71.6	1
EMR	158.23	1	False	3.67	27	2.62	154.08	1.13	11	1	0.88	0	BULLISH	69.7	78.9	ok	strong	ok	144.09	152.81	1	1	NONE	3.55	46.3	4
MXL	93.84	2	False	6.54	null	null	null	null	null	2	1.51	0	BULLISH	58.0	76.3	--	--	ok	51.72	71.44	1	3	NONE	31.35	61.1	1
AMD	630.63	2	False	24.71	26	null	null	null	null	2	0.8	0	BULLISH	63.0	71.1	warn	strong	ok	364.75	504.71	1	3	NONE	24.95	84.2	1
UAL	113.99	1	False	4.12	null	3.77	109.69	1.04	2	1	0.9	0	NONE	57.9	42.1	strong	warn	ok	109.01	116.33	1	2	NONE	-2.01	44.2	4
ETN	439.98	2	False	14.21	26	4.75	419.1	1.47	6	2	0.68	3	BEARISH	57.1	73.7	warn	warn	ok	386.83	419.1	1	2	NONE	4.98	75.8	1
IR	76.08	1	False	2.04	23	null	null	null	null	1	0.98	0	NONE	46.6	43.4	strong	warn	warn	81.7	79.84	1	1	NONE	-4.71	31.6	2
PFE	28.67	2	False	0.51	26	null	null	null	null	1	0.79	0	NONE	76.5	73.7	ok	strong	ok	26.34	26.98	3	1	NONE	6.26	71.6	4
TH	20.58	2	False	0.96	28	null	null	null	null	2	0.89	0	NONE	66.4	68.4	warn	ok	strong	13.7	17.77	3	2	NONE	15.82	64.2	3
INTC	123.0	2	False	6.26	null	null	null	null	null	2	0.91	0	NONE	65.5	61.8	warn	ok	ok	79.2	99.05	1	3	NONE	24.18	55.8	1
PPG	107.52	1	False	2.48	null	3.54	103.71	1.54	11	1	0.89	0	NONE	30.3	53.9	warn	ok	ok	111.89	112.17	1	2	NONE	-4.15	34.7	4
BIRK	33.6	1	False	1.31	null	3.99	32.26	1.02	4	1	1.67	0	BULLISH	30.3	59.2	warn	warn	warn	39.42	36.21	1	1	NONE	-7.21	31.4	2
APLE	16.19	1	False	0.32	28	2.16	15.84	1.09	3	2	0.77	0	BULLISH	55.5	51.3	ok	strong	ok	14.03	16.15	1	1	NONE	0.26	40.0	1
BETA	23.85	1	False	1.64	null	7.34	22.1	1.07	2	2	0.46	0	NONE	70.6	19.7	strong	ok	ok	20.19	21.6	1	1	NONE	10.43	42.1	1
VLTO	97.14	1	False	1.75	null	null	null	null	null	1	0.94	0	NONE	76.5	34.2	strong	strong	ok	93.07	96.22	1	1	NONE	0.95	44.2	4
ALAB	364.62	4	True	23.1	null	11.94	321.08	1.89	3	2	0.76	0	BULLISH	60.5	71.1	warn	strong	ok	236.21	305.03	1	2	NONE	19.54	50.5	1
GLW	156.74	1	False	8.12	null	null	null	null	null	2	0.64	0	NONE	68.9	28.9	strong	ok	warn	148.85	152.78	1	2	NONE	2.59	44.6	2
WT	24.33	2	False	0.95	24	null	null	null	null	1	0.48	3	BEARISH	80.7	73.7	ok	ok	ok	17.84	22.47	1	2	NONE	8.26	60.4	4
