feature,decile,n,feat_median,detection_+20pct_20d,detection_+10pct_20d
bq_100,1,704,15.0,33.5,57.0
bq_100,2,704,18.0,17.9,35.9
bq_100,3,704,20.0,24.0,46.0
bq_100,4,704,24.0,12.6,33.8
bq_100,5,704,25.0,22.2,43.8
bq_100,6,704,29.0,12.6,32.7
bq_100,7,704,32.0,9.8,27.6
bq_100,8,704,35.0,8.2,29.0
bq_100,9,704,40.0,7.7,31.7
bq_100,10,704,48.0,8.4,27.7
bq_range_tight,1,704,0.0,21.6,44.2
bq_range_tight,2,704,0.0,15.8,34.5
bq_range_tight,3,704,0.0,13.8,37.1
bq_range_tight,4,704,0.0,15.6,31.2
bq_range_tight,5,704,0.0,17.8,39.3
bq_range_tight,6,704,0.0,22.0,43.3
bq_range_tight,7,704,0.0,20.7,45.0
bq_range_tight,8,704,4.0,9.4,30.1
bq_range_tight,9,704,4.0,12.2,33.0
bq_range_tight,10,704,8.0,8.1,27.3
bq_vol_dry,1,704,0.0,15.8,38.8
bq_vol_dry,2,704,0.0,15.8,34.5
bq_vol_dry,3,704,0.0,14.1,33.7
bq_vol_dry,4,704,0.0,15.6,33.9
bq_vol_dry,5,704,0.0,20.7,41.9
bq_vol_dry,6,704,0.0,18.9,43.8
bq_vol_dry,7,704,5.0,14.9,33.9
bq_vol_dry,8,704,5.0,13.1,32.8
bq_vol_dry,9,704,5.0,14.3,36.1
bq_vol_dry,10,704,10.0,13.8,35.7
bq_base_dur,1,704,0.0,31.8,57.1
bq_base_dur,2,704,0.0,32.4,54.4
bq_base_dur,3,704,0.0,26.4,50.3
bq_base_dur,4,704,4.0,15.3,36.9
bq_base_dur,5,704,8.0,8.5,25.0
bq_base_dur,6,704,8.0,9.9,29.1
bq_base_dur,7,704,14.0,7.2,26.6
bq_base_dur,8,704,14.0,9.9,31.1
bq_base_dur,9,704,20.0,7.2,25.9
bq_base_dur,10,704,20.0,8.1,28.7
base_days,1,704,0.0,38.4,60.8
base_days,2,704,3.0,34.5,60.4
base_days,3,704,7.0,26.3,50.6
base_days,4,704,13.0,21.3,43.3
base_days,5,704,19.0,11.5,37.8
base_days,6,704,29.0,9.1,32.7
base_days,7,704,48.0,6.8,29.4
base_days,8,704,78.0,5.0,21.9
base_days,9,704,150.0,2.3,17.6
base_days,10,704,342.0,1.8,10.7
